kepid,kepoi_name,kepler_name,koi_period,koi_time0bk,duration(days),koi_ldm_coeff2,koi_ldm_coeff1,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,FeH,FeH_err1,FeH_err2,radius,radius_err1,radius_err2,mass,mass_err1,mass_err2,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag
6774537,K02146.01,Kepler-1120 b,2.949029106,133.13832,0.08463,0.1496,0.5746,1,4983,150,-135,4.512,0.084,-0.052,0.06,0.25,-0.3,0.807,0.064,-0.085,0.771,0.085,-0.056,290.91449,42.286579,15.333,16.139,15.271,14.987,14.836,13.79,13.256,13.17
10617017,K02149.01,Kepler-1121 b,13.15140223,144.16237,0.22663,0.3052,0.3236,1,6154,111,-124,4.12,0.168,-0.126,0.14,0.15,-0.15,1.636,0.308,-0.339,1.287,0.119,-0.145,297.78659,47.88612,12.071,12.404,12.019,11.928,11.913,11.076,10.865,10.795
9641481,K02152.01,Kepler-1122 b,42.1918331,155.31211,0.29513,0.224,0.4695,1,5520,74,-74,4.339,0.138,-0.103,0.16,0.15,-0.15,1.08,0.15,-0.15,0.928,0.062,-0.043,288.28052,46.3409,15.06,15.583,14.997,14.836,14.788,13.872,13.518,13.369
12116380,K02155.01,Kepler-1123 b,4.3394569,132.80309,0.09855,0.186,0.5256,1,5330,79,-79,4.366,0.132,-0.108,0.18,0.15,-0.1,1.013,0.139,-0.139,0.869,0.06,-0.034,294.51767,50.670399,14.822,15.404,14.756,14.573,14.491,13.528,13.154,13.105
2556650,K02156.01,Kepler-1124 b,2.852348262,132.044534,0.02938,0.4418,0.2405,1,3731,74,-81,4.83,0.055,-0.055,-0.28,0.15,-0.15,0.433,0.047,-0.052,0.463,0.041,-0.055,286.59427,37.891258,15.959,17.461,16.113,15.316,14.908,13.671,13.055,12.826
5546761,K02160.01,Kepler-1125 b,17.6700291,131.60103,0.27888,0.2555,0.4191,1,5795,78,-78,4.265,0.15,-0.112,0.16,0.15,-0.15,1.247,0.209,-0.209,1.042,0.079,-0.063,295.48123,40.731979,14.874,15.364,14.826,14.664,14.606,13.694,13.31,13.243
9205938,K02162.01,Kepler-1126 b,108.593113,173.75198,0.33288,0.2865,0.3556,1,5678,113,-102,4.409,0.132,-0.088,-0.4,0.15,-0.15,0.921,0.115,-0.115,0.794,0.071,-0.03,285.69199,45.689388,14.033,14.429,13.992,13.864,13.828,12.966,12.631,12.534
7204981,K02164.01,Kepler-1127 b,5.1233204,132.08472,0.11444,0.1914,0.5167,1,5364,85,-75,4.394,0.114,-0.076,0.14,0.15,-0.15,0.982,0.105,-0.116,0.872,0.064,-0.032,293.21738,42.720711,15.162,15.718,15.109,14.924,14.82,13.861,13.507,13.463
4370527,K02166.01,Kepler-1128 b,61.6174528,179.08282,0.15900,0.224,0.4695,1,5480,73,-82,4.485,0.045,-0.105,0.24,0.15,-0.15,0.931,0.115,-0.053,0.966,0.039,-0.054,293.06335,39.40345,15.722,16.351,15.659,15.453,15.347,14.383,14.012,13.896
6041734,K02167.01,Kepler-1129 b,24.3398202,136.05813,0.16213,0.2329,0.4554,1,5596,84,-75,4.105,0.203,-0.101,0.14,0.15,-0.15,1.466,0.244,-0.326,0.998,0.081,-0.066,291.60449,41.309361,15.28,15.738,15.256,15.084,15.01,14.173,13.804,13.783
6041734,K02167.03,Kepler-1129 c,76.5369531,164.15644,0.23225,0.2329,0.4554,2,5596,84,-75,4.105,0.203,-0.101,0.14,0.15,-0.15,1.466,0.244,-0.326,0.998,0.081,-0.066,291.60449,41.309361,15.28,15.738,15.256,15.084,15.01,14.173,13.804,13.783
12252424,K00153.02,Kepler-113 b,4.75400072,128.547155,0.10581,0.1082,0.627,1,4728,94,-94,4.628,0.012,-0.048,0.04,0.15,-0.15,0.693,0.049,-0.021,0.768,0.031,-0.047,287.99789,50.944328,13.461,14.31,13.399,13.097,12.951,11.886,11.36,11.255
12252424,K00153.01,Kepler-113 c,8.925079516,139.71389,0.11153,0.1082,0.627,2,4728,94,-94,4.628,0.012,-0.048,0.04,0.15,-0.15,0.693,0.049,-0.021,0.768,0.031,-0.047,287.99789,50.944328,13.461,14.31,13.399,13.097,12.951,11.886,11.36,11.255
9006186,K02169.01,Kepler-1130 b,5.45298742,134.15183,0.08887,0.2291,0.4603,1,5450,108,-108,4.563,0.017,-0.094,0.1,0.15,-0.15,0.842,0.093,-0.033,0.944,0.039,-0.066,285.20749,45.38435,12.404,12.944,12.326,12.172,12.092,11.137,10.735,10.662
11410904,K02171.01,Kepler-1131 b,3.53232429,134.74727,0.11521,0.2602,0.4096,1,5761,78,-78,4.492,0.022,-0.12,0.14,0.15,-0.15,0.956,0.143,-0.048,1.035,0.05,-0.068,295.65149,49.261292,14.972,15.437,14.908,14.773,14.708,13.794,13.5,13.416
10965588,K02177.01,Kepler-1132 b,62.8917493,139.12778,0.28463,0.1451,0.582,1,5052,75,-83,4.48,0.083,-0.028,0.16,0.15,-0.15,0.855,0.039,-0.072,0.805,0.056,-0.03,286.36746,48.423931,15.481,16.101,15.437,15.215,15.102,14.167,13.791,13.633
7286911,K02180.01,Kepler-1133 b,11.55562042,138.19752,0.06983,0.2291,0.4603,1,5420,73,-81,4.555,0.019,-0.097,0.14,0.15,-0.15,0.85,0.101,-0.034,0.945,0.034,-0.062,293.32242,42.86747,14.816,15.374,14.771,14.576,14.474,13.596,13.173,13.168
6962109,K02182.01,Kepler-1134 b,17.13263125,147.1546,0.12731,0.2434,0.4341,1,5477,182,-182,4.578,0.036,-0.144,-0.16,0.3,-0.3,0.794,0.176,-0.075,0.876,0.083,-0.102,295.56799,42.478298,15.842,16.456,15.763,15.578,15.354,14.426,13.955,13.881
8611781,K02185.01,Kepler-1135 b,76.957056,192.33682,0.39796,0.2916,0.3447,1,5878,157,-157,4.363,0.153,-0.187,-0.24,0.3,-0.3,1.041,0.281,-0.187,0.912,0.132,-0.088,286.00296,44.756592,14.353,14.837,14.3,14.146,14.066,13.161,12.827,12.75
